das Anzeichen,-	elõjel, ismertetõjel	sich überschlagen	felborul, felbukik
planmäßig	tervszerû, tervezett	rüsten	felfegyverez, felkészül/ít
hervorragend	kiváló / kiváltképpen	sich erweisen, ie., h.ie.	bizonyul vmilyennek
etw. beschreiten	vmin elindulni, végigmenni	die Schirmmütze	napellenzõs sapka
der Liegestuhl,-ë	nyugágy	drehen sich um etw.	vmi körül forog (vmirõl szól)
prägen	jellemez, formál, alkot, bevés	aufpassen auf jmd.	vkire figyel, vigyáz
das Schaf,-e	birka	auf der Durchreise sein	átutazóban van
Schlitten fahren	szánkózik	die Umgebung,-en	környék, környezet
reif	érett	die Traube,-n	szõlõ
sich etw. (D) hingeben	átadni magát vminek	der Gegenstand,-ë	tárgy, eszköz
an etw. herankommen	utolér vmit, összehasonlítható vmivel	unentgeltlich	ingyenes
die Steuer,-n	adó	die Regierung,-en	kormányzat
verüben	elkövet, véghezvisz	verpflegen	élelmez, ellát
das Ehepaar,-e	házaspár	das Kerl,-e	fickó
das Geschlecht	nem (hím, nõstény)	das Gestalt,-en	alak, termet, testalkat
auffälig	feltûnõ	künstlich	mesterséges
der Sauerstoff	oxigén	atmen	lélegzik, liheg
der Teig,-e	tészta	das Mehl,-e	liszt
der Tropfen,-	csepp	tröpfeln	csepegtet
gießen, o.,h.o.	tölt, önt, locsol	umrühren	felkavar, felkever
das Gemisch,-e =das Gemenge     keverék	giftig	mérgezõ
gelangen an	eljut, megérkezik	schütten	önt, tölt
übrigens	egyébként, különben	verhältnismäßig	viszonylag, aránlag, arányos
der Dampf,-ë	gõz	das Becken,-	medence, mosdótál, tál
festheften	szorosra meghúz	abstreifen	leszed (gyümölcsöt), cipõt pucol, leszokik
der Streifen,-	csík, sáv, szalag / járõrözés	locker	laza
das Klebeband,-ër	ragasztószalag	bereitwillig	készséges
das Tiefkühlgerät,-e	mélyhûtõ	fressen (i.),a.,h.e.	zabál
bloß	csupasz, csupán, csak	das Rüstzeug,-e	felszerelés
der Bezug,-ë	hivatkozás, utalás	unbestritten	nem vitatott
das Merkmal,-e	ismertetõjel, tulajdonság	der Betrag,-ë	mennyiség, méret, összeg
der Ansatz,-ë	alap, kezdet	der Rahmen,-	keret, váz
die Auflage,-n	kiadás (könyvé)	die Kette,-n	lánc
der Verlauf,-ë	menet, lefolyás	die Spalte,-n	szelet, szakadék, hasáb / oszlop
zunächst	mindenekelõtt, elõször is	die Ebene,-n	sík
aufspannen	kifeszít	senkrecht	függõleges / merõleges
der Spat	hasáb	die Tasse, -n	csésze
die Wand, ¨-e	bástya, fal	sich verstecken	rejtõzik
der Zaun, ¨-e	kerítés, sövény	der Mülleimer,-	szemetesláda
die Verhandlung,-en	tárgyalás	verschieben, o.,h.o.	elhalaszt, eltol
der Verweis,-e	utalás	die Ausstellung	kiállítás
das Lächeln	mosoly (nevetés)	der Taucheranzug	búvárruha
der Schwarm,-¨e	raj, csapat	das Verhängnis	végzet
zum Verhängnis werden     a végzetévé válik	überlassen	átad, rábíz
schwärmen für	rajong vmiért	errichten	létesít, alapít
die Pforte,-n	bejárat, porta	karg	fukar, szegényes
anscheinend	látszólag	der Anlass,-¨e	indok, alkalom, ürügy
abschweifen	elkalandozik, eltér a témától (sich ablenken lassen)     zutreffen (a.,o.) auf	igaz, érvényes vmire
der Regenschauer	zápor	verraten (ä), ie.,a.	mutat, tükröz / elárul
entfalten	kifejt, kibont(akoztat)	die Übelkeit	hányinger
hemmen	korlátoz, megakadályoz	sausen	száguld, süvölt
blühen	virágzik	die Zierpflanze	dísznövény
anbauen	mûvel (földet)	erlassen	elenged, megenged / kiad, kibocsát
rieseln	szemerkél, szitál	das Atemschutzgerät	gázálarc
der Umschlag	boríték / átcsapás, hirtelen változás	das Plätzchen	sütemény
beitragen	hozzájárul	der Knochen	csont
der Verdienst	érdem	verleihen	ad, adományoz, kölcsönad
die Abhandlung	esszé, fogalmazás	bescheren	ajándékoz, meglep
knabbern	rágcsál, majszol	wegweisen	elutasít
wegweisend	élenjáró, úttörõ	ballen	labdázik / összenyom
der Ausschuss,-¨e	bizottság / hibás darab, selejt / kizárás	dicht	feszes, sûrû, szoros, közvetelenül
einst	egykor, hajdan	der Aufsatz	cikk, tanulmány, esszé
fußen auf	nyugszik vmin	verschlingen	elnyel, felfal / összefon
die Festplatte	merevlemez, hard drive	vertrieben	elüldözött
verrammeln	elzár	verkennen	félreismer
zerstreut	szétszórt	der Hut	kalap
die Hut	legelõ, gondozás, védelem	der Schuss	lendület, mozdulat, lövés
klarkommen	boldogul vmivel	der Eingriff	beavatkozás
das Gewehr	puska, lõfegyver (Schusswaffe)	sich wälzen	forgolódik, hánykolódik
der Andrang	tolongás	beträchtlich	jelentõs
die Ausbeute	haszon, nyereség	ermäßigt	kedvezményes, mérsékélt
sich betragen	viselkedik	betragen	kitesz (vmi mennyiséget)
die Trägheit	tehetetlenség	hohl	üres, üreges
die Höhle	barlang, üreg	die Hülle	burok, burkolat
das Gefäß	tartály, edény	das Blei	ceruza / ólom
sich bewähren	beigazolódik	bewahren	megtart, megõriz
neigen zu	hajlamos vmire, hajlik vmire	angewiesen auf	vmire rászoruló
die Abfolge	sorrend	gewährleisten	biztosít, nyújt
die Gewähr	biztosíték, garancia	die Schraube,-n	csavar
die Spinne	pók	der Wegfall	megszûnés, veszteség
das Verbrechen	bûntett	das Gefüge, der Überbau	szerkezet, felépítés
lauern	bujkál, leselkedik	nahelegen	javasol, sugalmaz
rücksichtslos	figyelmetlen, tapintatlan, kíméletlen	das Eisen	vas
benachbart	határos	die Faust	marok, ököl
die Veranlagung	hajlam, tehetség	weltumspannend	világra szóló, világot átfogó
erhaschen	elcsíp, elkap	die Scheibe	korong, tárcsa
die Schüssel	tál	der Schatten	árnyék
verstreut	szétszórt	einschließlich	beleértve
das Schicksal	sors, végzet (Verhängnis)	verweichlicht	elpuhult
umkippen	átbillen	das Vermögen (z.B. Durchhaltevermögen)	képesség
düster	homályos, borús, komor	mitunter	néha, olykor
allzu	túlságosan	das Wohlergehen	boldogulás, jólét
beeinträchtigen	befolyásol, korlátoz	vergraueln	elijeszt
das Kupfer	réz	bestechen (i.), a.,h.o.	lefizet
durchforsten	átkutat	unweigerlich	ellenállhatatlanul
handfest	kiadós	zugeben	bevall, elismer
verfechten (i.), o.,h.o.	védelmez	erfassen	érzékel, felfog, megragad
schnuppern	szimatol, beleszagol	versehen	elnéz, összekever, elhibáz
das Ausmaß	méret, kiterjedés	ausstatten	felszerel
verfassen	megír, megfogalmaz	die Belegschaft	személyzet, alkalmazottak
das Schlupfloch	kibúvó, kiút	ablehnen	elutasít
durchqueren	átmegy, keresztez	das Huhn, das Hünchen	csirke
der Winkel	szög (mat.)	der Trabant	hold, mellékbolygó
glühend	buzgó	der Haufen	halom, sokaság
etlich	jópár	der Bestand	állomány, készlet
nach wie vor	változatlanul, még mindig	die Verschwörung	összeesküvés
spucken	köp	schäbig	vacak, ocsmány
bedrängen	szorong	schlummern	szundít
verseuchen	megfertõz	geil	tök jó, nagyszerû
wortwörtlich	szó szerint	erwägen, o.,h.o.	megfontol
basteln	barkácsol, babrál	die Sohle,-n	talp
die Latte,-n	léc	der Stock,¨-er	emelet/tõke/pálca
sich weigern	vonakodik	ungehalten (über)	felháborodott
umsetzen	átalakít/bevált vmit	beimessen +D +A	tulajdonít vkinek vmit
das Bekenntnis	beismerés, vallomás	abschaffen	kikapcsol, megszüntet
angebracht	helyénvaló	die Fülle	bõség, teltség
die Auffassung	felfogás, vélemény	der Anhänger,-	híve, követõje vminek / pótkocsi
das Siegel,-	pecsét	begehren	kíván, akar
die Währung	pénznem, valuta	vorbeugen	elévág, megelõz
rutschen	csúszik, csúszkál	die Kreide	kréta
der Eimer, der Kübel	vödör	gerechtfertigt	igazolt, jogos
verstricken	belekever, bevon	der Faden	vonal, szál
überwinden, a., h.u.	legyõz, legyûr	die Scheu	félelem, aggódás
rauskriegen	megtud, kiszed vkibõl vmit	gliedern	tagol
der Lehrstuhl	tanszék (egyetemi)	die Genehmigung	engedélyezés, jóváhagyás
die Gegenüberstellung	összevetés, szembesítés	der Scheinwerfer,-	reflektor (fényszóró)
der Esel	szamár	kursiv	dõlt, folyó (írás)
die Haftung	felelõsség, szavatosság	
